"case","t","y1","y2","y3"
1,0,-0.190031975274906,0.514496699674055,0.409361242316663
1,0.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,1,-0.190031975274906,0.514496699674055,0.409361242316663
1,1.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,2,-0.190031975274906,0.514496699674055,0.409361242316663
1,2.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,3,-0.190031975274906,0.514496699674055,0.409361242316663
1,3.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,4,-0.190031975274906,0.514496699674055,0.409361242316663
1,4.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,5,-0.190031975274906,0.514496699674055,0.409361242316663
1,5.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,6,-0.190031975274906,0.514496699674055,0.409361242316663
1,6.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,7,-0.190031975274906,0.514496699674055,0.409361242316663
1,7.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,8,-0.190031975274906,0.514496699674055,0.409361242316663
1,8.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,9,-0.190031975274906,0.514496699674055,0.409361242316663
1,9.5,-0.190031975274906,0.514496699674055,0.409361242316663
1,10,-0.190031975274906,0.514496699674055,0.409361242316663
2,0,-0.190031975274906,0.514496699674055,0.409361242316663
2,0.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,1,-0.190031975274906,0.514496699674055,0.409361242316663
2,1.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,2,-0.190031975274906,0.514496699674055,0.409361242316663
2,2.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,3,-0.190031975274906,0.514496699674055,0.409361242316663
2,3.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,4,-0.190031975274906,0.514496699674055,0.409361242316663
2,4.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,5,-0.190031975274906,0.514496699674055,0.409361242316663
2,5.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,6,-0.190031975274906,0.514496699674055,0.409361242316663
2,6.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,7,-0.190031975274906,0.514496699674055,0.409361242316663
2,7.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,8,-0.190031975274906,0.514496699674055,0.409361242316663
2,8.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,9,-0.190031975274906,0.514496699674055,0.409361242316663
2,9.5,-0.190031975274906,0.514496699674055,0.409361242316663
2,10,-0.190031975274906,0.514496699674055,0.409361242316663
3,0,-0.190031975274906,0.514496699674055,0.409361242316663
3,0.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,1,-0.190031975274906,0.514496699674055,0.409361242316663
3,1.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,2,-0.190031975274906,0.514496699674055,0.409361242316663
3,2.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,3,-0.190031975274906,0.514496699674055,0.409361242316663
3,3.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,4,-0.190031975274906,0.514496699674055,0.409361242316663
3,4.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,5,-0.190031975274906,0.514496699674055,0.409361242316663
3,5.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,6,-0.190031975274906,0.514496699674055,0.409361242316663
3,6.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,7,-0.190031975274906,0.514496699674055,0.409361242316663
3,7.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,8,-0.190031975274906,0.514496699674055,0.409361242316663
3,8.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,9,-0.190031975274906,0.514496699674055,0.409361242316663
3,9.5,-0.190031975274906,0.514496699674055,0.409361242316663
3,10,-0.190031975274906,0.514496699674055,0.409361242316663
4,0,-0.190031975274906,0.514496699674055,0.409361242316663
4,0.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,1,-0.190031975274906,0.514496699674055,0.409361242316663
4,1.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,2,-0.190031975274906,0.514496699674055,0.409361242316663
4,2.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,3,-0.190031975274906,0.514496699674055,0.409361242316663
4,3.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,4,-0.190031975274906,0.514496699674055,0.409361242316663
4,4.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,5,-0.190031975274906,0.514496699674055,0.409361242316663
4,5.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,6,-0.190031975274906,0.514496699674055,0.409361242316663
4,6.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,7,-0.190031975274906,0.514496699674055,0.409361242316663
4,7.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,8,-0.190031975274906,0.514496699674055,0.409361242316663
4,8.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,9,-0.190031975274906,0.514496699674055,0.409361242316663
4,9.5,-0.190031975274906,0.514496699674055,0.409361242316663
4,10,-0.190031975274906,0.514496699674055,0.409361242316663
5,0,-0.190031975274906,0.514496699674055,0.409361242316663
5,0.5,-0.190031975274906,0.514496699674055,0.409361242316663
5,1,-0.190031975274906,0.514496699674055,0.409361242316663
5,1.5,-0.190031975274906,0.514496699674055,0.409361242316663
5,2,-0.190031975274906,0.514496699674055,0.409361242316663
5,2.5,-0.190031975274906,0.514496699674055,0.409361242316663
5,3,-0.190031975274906,0.514496699674055,0.409361242316663
5,3.5,-0.190031975274906,0.514496699674055,0.409361242316663
5,4,-0.190031975274906,0.514496699674055,0.409361242316663
5,4.5,-0.190031975274906,0.514496699674055,0.409361242316663
5,5,-0.190031975274906,0.514496699674055,0.409361242316663
5,5.5,-0.190031975274906,0.514496699674055,0.409361242316663
5,6,-0.190031975274906,0.514496699674055,0.409361242316663
5,6.5,-0.190031975274906,0.514496699674055,0.409361242316663
